الجملة	القطاعي	الوحدة	الكمية	العبوة	رقم القطعة	الاسم الأجنبي	الاسم	الرقم
440	470	قطعة	1	2	6975631086652		منشار اشجار8" شحن 20فولت-EDG105	401
840	895	قطعة	1	2	6975631084191		منشار خشب ثابت 10"1800وات-DC574	415
1120	1190	قطعة	1	1	6975631084207		منشار خشب متحرك 10"2000وات-DE570	416
2000	2125	قطعة	1	2	6975631084214		منشار خشب متحرك 12"2000وات-DE571	417
385	410	قطعة	1	2	6975631084665		منشار دائري بالشحن185ملم 20فولت-DC552Z	407
300	285	قطعة	1	4	6974173016936		منشار دائري185ملم 1300وات-DL-YJ185-E1	408
510	545	قطعة	1	6	6974173016943		منشار دائري235ملم 2200وات-DL-YJ235-E1	409
288	310	قطعة	1	4	6975631080919		منشار رخام دائري 1300وات 110ملم-DE-YS110-1E	405
790	880	قطعة	1	1	6975102949448		منشار زاوية المونيوم-خشب 1800وات 255ملم-DL-XD255-E1	567
540	580	قطعة	1	3	6975102947420		منشار شجر بنزينDL585020-58CC	546
295	315	قطعة	1	3	6975102947413		منشار شجر كهربائي 1600وات-DL-LJ405-E1	545
14	15	قطعة	3	6	6975495598391		منشار قص حديد 12"-DL353212	374
18	18.75	قطعة	4	6	6974173017216		منشار قص حديد 12"-DL353712	371
900	960	قطعة	1	3	6975631081930		منشارشحن دائري 150ملم  20فولت 4 امبير-DE-YJ20-1D4	412
56	60	قطعة	3	3	6975495590593		مورصة 120*50سم-DL111250Z	511
30	31.25	قطعة	3	3	6975102944610		مورصه يدويه 5"-DL-G205	181
41.5	43.75	قطعة	3	3	6975102944627		مورصه يدويه 6"-DL-G206	180
14	15	قطعة	5	12	6974173019180		موس زجاج ماسي 3-12ملم-DL2701	276
10.5	11.25	قطعة	5	12	6974173018039		موس زجاج مقبض بلاستيك 3-12ملم-DL2700	281
3	3.5	قطعة	3	3	6974173019135		موس فرش بلاستيك 18ملم-DL018B	491
12	12.5	قطعة	6	24	6976391001084		موس فرش عريض 25ملم-DL0035	280
33	35	قطعة	4	6	6975495599879		ميزان بناء خيط 6متر-DL22	147
5	6	قطعة	3	3	6976391000384		وصلة خرطوم 1/2"-DL8792	541
6	7	قطعة	3	86	6976391000391		وصلة خرطوم 1/2"بخاصية ايقاف الماء-DL8793	533
12	12.5	قطعة	10	10	6976391001046		وصلة ريشة اتوماتيك-DL107401	150
5	6	قطعة	11	20	6976391001398		وصلة ريشة-DL106002	149
9	10	قطعة	4	5	6975495595925		يونتة خرشوفه كباية 22ملم-DH-SKK022-E1	164
